url,error_message
https://menara.ma/,"==>>> Warning : Unable to access contact page => contact_link == ('http://www.iam.ma/particulier/aide-et-assistance/Mobile/faq.aspx', 'مساعدة') 
=> base_url == https://menara.ma/"
https://menara.ma/,"==>>> Warning : Unable to access contact page => contact_link == ('/qui-sommes-nous', 'من نحن؟') 
=> base_url == https://menara.ma/"
https://menara.ma/,"==>>> Warning : Unable to access contact page => contact_link == ('/contact', 'اتصل بنا') 
=> base_url == https://menara.ma/"
https://www.leconomiste.com/,"==>>> Warning : Unable to access contact page => contact_link == ('http://www.ecomedias.ma/', 'Publicité') 
=> base_url == https://www.leconomiste.com/"
https://ar.hibapress.com/,"==>>> Error : tuple index out of range 
=> in for contact_link in contact_links:...
=>(current_url_contact == None)
=> (contact_link = ('https://ar.hibapress.com/contact.html', 'اتصل بنا'))"
https://ar.hibapress.com/,"==>>> Error : in scraping_contact() at ContactScraping
=> tuple index out of range"
https://www.lemonde.fr/,"==>>> Warning : Unable to access contact page => contact_link == ('https://mpublicite.fr/', 'M Publicité') 
=> base_url == https://www.lemonde.fr/"
https://lefaso.net/,"==>>> Warning : Unable to access contact page => contact_link == ('/spip.php?article29&rubrique17', 'A propos...') 
=> base_url == https://lefaso.net/"
https://www.lemonde.fr/,"==>>> Warning : Unable to access contact page => contact_link == ('https://www.lemonde.fr/faq/?thematic=contacter', 'Contacter Le Monde') 
=> base_url == https://www.lemonde.fr/"
https://lefaso.net/,"==>>> Warning : Unable to access contact page => contact_link == ('#/', 'Responsabilité') 
=> base_url == https://lefaso.net/"
https://lobservateur.info/,"==>>> Error : tuple index out of range 
=> in for contact_link in contact_links:...
=>(current_url_contact == https://lobservateur.info/contact)
=> (contact_link = ('https://lobservateur.info/lequipe', ""L'équipe""))"
https://lobservateur.info/,"==>>> Error : tuple index out of range 
=> in for contact_link in contact_links:...
=>(current_url_contact == https://lobservateur.info/contact)
=> (contact_link = ('https://lobservateur.info/lequipe', ""L'équipe""))"
https://www.alalam.ma/,"==>>> Warning : Unable to access contact page => contact_link == ('https://www.alalam.ma/اتصل-بنا_a8374.html?preview=1', 'اتصل بنا') 
=> base_url == https://www.alalam.ma/"
https://www.alalam.ma/,"==>>> Warning : Unable to access contact page => contact_link == ('https://www.alalam.ma/للنشر-في-العلم_a8321.html', 'للنشر في العلم') 
=> base_url == https://www.alalam.ma/"
https://www.alalam.ma/,"==>>> Warning : Unable to access contact page => contact_link == ('https://www.alalam.ma/للإشهار_a8373.html?preview=1', 'للإشهار') 
=> base_url == https://www.alalam.ma/"
https://www.alalam.ma/,"==>>> Warning : Unable to access contact page => contact_link == ('https://www.alalam.ma/اتصل-بنا_a8374.html?preview=1', 'اتصل بنا') 
=> base_url == https://www.alalam.ma/"
https://www.alalam.ma/,"==>>> Warning : Unable to access contact page => contact_link == ('https://www.alalam.ma/للنشر-في-العلم_a8321.html', 'للنشر في العلم') 
=> base_url == https://www.alalam.ma/"
https://www.alalam.ma/,"==>>> Warning : Unable to access contact page => contact_link == ('https://www.alalam.ma/للإشهار_a8373.html?preview=1', 'للإشهار') 
=> base_url == https://www.alalam.ma/"
https://www.abidjan.net/,"==>>> Warning : Unable to access contact page => contact_link == ('https://weblogy.com/nous-contacter', 'Contactez-Nous') 
=> base_url == https://www.abidjan.net/"
